ID,NOMBRE,APELLIDO,DNI,CORREO,ESTADO
1,Juan,Garcia,12345678A,juan@email.com,Activo
2,Maria,Lopez,23456789B,maria@email.com,Activo
3,Pedro,Martinez,34567890C,pedro@email.com,Activo
4,Ana,Rodriguez,45678901D,ana@email.com,Activo
5,Luis,Sanchez,56789012E,luis@email.com,Activo
6,Carmen,Gomez,67890123F,carmen@email.com,Despedido
7,Jose,Fernandez,78901234G,jose@email.com,Activo
8,Isabel,Diaz,89012345H,isabel@email.com,Despedido
9,Antonio,Torres,90123456I,antonio@email.com,Activo
10,Laura,Ruiz,01234567J,laura@email.com,Activo
11,David,Jimenez,11223344K,david@email.com,Activo
12,Sara,Moreno,22334455L,sara@email.com,Activo
13,Francisco,Molina,33445566M,francisco@email.com,Activo
14,Elena,Alvarez,44556677N,elena@email.com,Activo
15,Manuel,Castillo,55667788O,manuel@email.com,Activo
16,Patricia,Romero,66778899P,patricia@email.com,Activo
17,Alejandro,Ortiz,77889900Q,alejandro@email.com,Activo
18,Claudia,Vargas,88990011R,claudia@email.com,Activo
19,Roberto,Serrano,99001122S,roberto@email.com,Activo
20,M
